z	zmaf	zfir
-0.631188	-0.695375	-0.802687
-0.631188	-0.695375	-0.802687
-0.649062	-0.684375	-0.772188
-0.649062	-0.684375	-0.772188
-0.649062	-0.684375	-0.772188
-0.703750	-0.661563	-0.744750
-0.703750	-0.661563	-0.744750
-0.703750	-0.661563	-0.744750
-0.739250	-0.669813	-0.724187
-0.739250	-0.669813	-0.724187
-0.739250	-0.669813	-0.724187
-0.955250	-0.735688	-0.736875
-0.955250	-0.735688	-0.736875
-0.955250	-0.735688	-0.736875
-0.934312	-0.796312	-0.747500
-0.934312	-0.796312	-0.747500
-0.934312	-0.796312	-0.747500
-1.007688	-0.868000	-0.765625
-1.007688	-0.868000	-0.765625
-1.007688	-0.868000	-0.765625
-0.993625	-0.926000	-0.789250
-0.993625	-0.926000	-0.789250
-0.993625	-0.926000	-0.789250
-0.982187	-0.974562	-0.813312
-0.982187	-0.974562	-0.813312
-0.982187	-0.974562	-0.813312
-1.075187	-0.998563	-0.838812
-1.075187	-0.998563	-0.838812
-1.075187	-0.998563	-0.838812
-1.056750	-1.023062	-0.870875
-1.056750	-1.023062	-0.870875
-1.056750	-1.023062	-0.870875
-0.963250	-1.014188	-0.899563
-0.963250	-1.014188	-0.899563
-0.963250	-1.014188	-0.899563
-1.181312	-1.051688	-0.945750
-1.181312	-1.051688	-0.945750
-1.181312	-1.051688	-0.945750
-1.108812	-1.077063	-0.983812
-1.108812	-1.077063	-0.983812
-1.108812	-1.077063	-0.983812
-1.122375	-1.086500	-1.015562
-1.122375	-1.086500	-1.015562
-1.122375	-1.086500	-1.015562
-1.141687	-1.103438	-1.046938
-1.141687	-1.103438	-1.046938
-1.141687	-1.103438	-1.046938
-1.159063	-1.142625	-1.063562
-1.159063	-1.142625	-1.063562
-1.159063	-1.142625	-1.063562
-1.199062	-1.146187	-1.085375
-1.199062	-1.146187	-1.085375
-1.199062	-1.146187	-1.085375
-1.158187	-1.156062	-1.098812
-1.158187	-1.156062	-1.098812
-1.158187	-1.156062	-1.098812
-1.195938	-1.170750	-1.114812
-1.195938	-1.170750	-1.114812
-1.195938	-1.170750	-1.114812
-0.968000	-1.136000	-1.112313
-0.968000	-1.136000	-1.112313
-0.968000	-1.136000	-1.112313
-0.881313	-1.080500	-1.097562
-0.881313	-1.080500	-1.097562
-0.881313	-1.080500	-1.097562
-0.914125	-1.023500	-1.083063
-0.914125	-1.023500	-1.083063
-0.914125	-1.023500	-1.083063
-0.891500	-0.970125	-1.074375
-0.891500	-0.970125	-1.074375
-0.891500	-0.970125	-1.074375
-0.911875	-0.913312	-1.052188
-0.911875	-0.913312	-1.052188
-0.911875	-0.913312	-1.052188
